# id	left	top	right	bottom	texture_id
[SPRITES]
# Ground
#top
51000	443	154	458	169	21
52000	460	154	475	169	21
53000	477	154	492	169	21
#bot
53100	443	171	458	186	21
53200	460	171	475	186	21
53300	477	171	492	186	21

# Cloud
54000	698	1	713	16	21

#Trees
#top
55000	307	307	322	322	21
55001	324	307	339	322	21
#body
55002	307	324	322	339	21
55003	324	324	339	339	21

#PIPE
#Top LEFT & RIGHT
45001	69	35	84	50	21
45002	86	35	101	50	21
#Body LEFT & RIGHT
45101	70	52	84	67	21
45102	86	52	100	67	21

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
