# id	left	top	right	bottom	texture_id
[SPRITES]
# start with 80000
##MISC for all World map
#Symbol start
80000	4	143	19	158	24
#Scene 1 -> 10
80010	21	143	36	158	24
80011	38	143	53	158	24
80012	55	143	70	158	24
80013	72	143	87	158	24
80014	89	143	104	158	24
80015	106	143	121	158	24
80016	123	143	138	158	24
80017	140	143	155	158	24
80018	157	143	172	158	24
80019	174	143	189	158	24
#Symbol Ace
80020	140	160	155	175	24
#Gate
80021	157	160	172	175	24
#Door
80022	4	177	19	192	24
#Mushroom House
80023	21	177	36	192	24
#Castle
#Body
80024	89	177	104	192	24
#Top
80025	106	177	121	192	24
#Symbol Help
80026	123	177	138	192	24
80027	112	298	113	299	24

#Path Tiles
#horizontal
80030	4	227	19	242	24
#vertical
80031	21	227	36	242	24
#seed
80032	38	227	53	242	24
#horizontal with seed
80033	55	227	70	242	24
#vertical with seed
80034	72	227	87	242	24
#horizontal, vertical with seed
80035	89	227	104	242	24

###1.1###
#Map border
#top (width = 7, height = 7)
80100	321	492	328	499	24
80101	330	492	337	499	24
80102	339	492	346	499	24
#mid
80110	321	501	328	508	24
80111	339	501	346	503	24
#bot
80120	321	510	328	517	24
80121	330	510	337	517	24
80122	339	510	346	517	24
#BG color
80200	151	327	166	342	24
#Grass
80300	4	310	19	325	24
80301	21	310	36	325	24
80302	38	310	53	325	24
80303	55	310	70	325	24
#Mountain
80310	72	310	87	325	24
#Bridge
80320	89	310	104	325	24
#Drain(Width: 7, height: 7)
#top 
80400	107	310	114	317	24
80401	116	310	123	317	24
80402	125	310	132	317	24
80403	134	310	141	317	24
#mid 1	
80410	107	319	114	326	24
80411	116	319	123	326	24
80412	125	319	132	326	24
80413	134	319	141	326	24
#mid 2	
80420	107	328	114	335	24
80421	116	328	123	335	24
80422	125	328	132	335	24
80423	134	328	141	335	24
#bot	
80430	107	337	114	344	24
80431	116	337	123	344	24
80432	125	337	132	344	24
80433	134	337	141	344	24

#Enemy
##Right
80500	157	195	172	210	24
80501	174	195	189	210	24
##left
80502	38	177	53	192	24
80503	55	177	70	192	24


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#Grass dancing
20000	80300	300	80301	300	80302	300	80303	300
#Help
20001	80026	500	80027	500

#Enemy walking right
20002	80500	100	80501	100
#Enemy walking left
20003	80502	100	80503	100
